time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
131089,0,0,0,0
33,4,0,0,0
50,0,0,0,0
67,0,0,0,0
83,0,0,0,0
100,0,0,0,0
117,0,0,0,0
133,0,0,0,0
131222,2,0,0,0
167,0,0,0,0
183,0,0,0,0
200,0,0,0,0
217,0,0,0,0
235,0,0,0,0
250,0,0,0,0
267,0,0,0,0
283,0,0,0,0
300,0,0,0,0
317,0,0,0,0
333,0,0,0,0
131422,0,0,0,0
367,0,0,0,0
383,0,0,0,0
400,0,0,0,0
417,0,0,0,0
435,0,0,0,0
450,0,0,0,0
467,0,0,0,0
483,0,0,0,0
500,0,0,0,0
517,0,0,0,0
533,0,0,0,0
550,0,0,0,0
567,2,0,0,0
583,0,0,0,0
262744,0,0,0,0
617,0,0,0,0
633,0,0,0,0
650,0,0,0,0
667,0,0,0,0
131755,4,0,0,0
700,0,0,0,0
717,0,0,0,0
131805,0,0,0,0
750,0,0,0,0
767,0,0,0,0
783,0,0,0,0
800,4,0,0,0
817,0,0,0,0
835,0,0,0,0
850,0,0,0,0
867,0,0,0,0
887,0,0,0,0
900,0,0,0,0
917,0,0,0,0
933,0,0,0,0
950,0,0,0,0
967,0,0,0,0
983,2,0,0,0
1000,0,0,0,0
1017,0,0,0,0
1033,0,0,0,0
1050,0,0,0,0
1067,0,0,0,0
1083,0,0,0,0
1100,0,0,0,0
1117,0,0,0,0
1135,0,0,0,0
1150,0,0,0,0
1167,0,0,0,0
1183,0,0,0,0
1200,0,0,0,0
1217,0,0,0,0
1235,0,0,0,0
1250,0,0,0,0
1267,0,0,0,0
1283,0,0,0,0
1300,0,0,0,0
1317,0,0,0,0
1335,6,0,0,0
1350,0,0,0,0
1367,0,0,0,0
1383,0,0,0,0
1400,0,0,0,0
1417,0,0,0,0
1433,0,0,0,0
1450,0,0,0,0
1467,0,0,0,0
1483,0,0,0,0
1500,0,0,0,0
1517,0,0,0,0
1533,0,0,0,0
1550,0,0,0,0
1567,0,0,0,0
1583,0,0,0,0
263744,0,0,0,0
1617,0,0,0,0
1635,0,0,0,0
