time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
50,0,0,0,0
100,0,0,0,0
150,0,0,0,0
200,0,0,0,0
250,0,0,0,0
300,0,0,0,0
350,8,0,2,0
400,2,0,0,0
450,2,4,2,0
500,58,280,192,0
550,192,345,177,0
600,119,317,173,0
650,145,282,173,0
700,141,248,161,0
750,131,244,161,0
800,127,222,167,0
850,143,212,155,0
900,129,202,169,0
950,145,188,153,0
1000,141,165,163,0
1050,143,165,163,0
1100,139,161,165,0
1150,135,167,151,0
1200,147,147,151,0
1250,137,141,167,0
1300,125,145,161,0
1350,137,135,165,0
1400,145,135,151,0
1450,145,125,157,0
1500,147,133,167,0
1550,137,141,153,0
1600,139,139,149,0
1650,133,137,149,0
1700,143,139,149,0
1750,137,127,161,0
1800,149,123,165,0
1850,141,129,149,0
1900,131,127,161,0
1950,145,125,149,0
2000,149,125,157,0
2050,141,121,149,0
2100,133,129,157,0
2150,145,121,155,0
2200,141,119,151,0
2250,145,115,149,0
2300,147,127,155,0
2350,139,123,157,0
2400,143,117,161,0
2450,137,131,141,0
2500,145,125,141,0
2550,131,127,159,0
2600,135,131,163,0
2650,151,119,159,0
2700,131,127,171,0
2750,137,121,163,0
2800,133,139,157,0
2850,135,137,149,0
2900,137,141,143,0
2950,133,143,153,0
3000,137,131,173,0
3050,141,123,161,0
3100,135,127,155,0
3150,133,139,145,0
3200,137,129,145,0
3250,141,85,139,0
3300,145,119,143,0
3350,123,117,135,0
3400,143,109,135,0
3450,133,111,127,0
3500,143,117,143,0
3550,139,113,147,0
3600,141,89,135,0
3650,141,73,123,0
3700,127,111,135,0
3750,135,127,139,0
3800,145,115,145,0
3850,145,113,149,0
3900,137,113,159,0
3950,145,123,149,0
4000,127,129,149,0
4050,131,121,155,0
4100,131,133,143,0
4150,145,123,163,0
4200,145,107,155,0
4250,141,119,151,0
4300,133,121,155,0
4350,125,111,145,0
4400,127,75,123,0
4450,137,99,125,0
4500,135,79,109,0
4550,123,69,109,0
4600,131,105,107,0
4650,123,103,131,0
4700,131,97,143,0
4750,131,67,129,0
4800,123,93,119,0
4850,127,121,115,0
4900,137,111,125,0
4950,137,91,123,0
5000,133,97,139,0
5050,121,85,121,0
5100,131,75,107,0
5150,137,77,121,0
5200,137,60,105,0
5250,131,60,121,0
5300,137,75,121,0
5350,129,79,131,0
5400,125,75,125,0
5450,131,60,103,0
5500,131,67,95,0
5550,137,46,107,0
5600,135,85,107,0
5650,133,103,111,0
5700,131,75,117,0
5750,117,91,125,0
5800,129,71,119,0
5850,117,71,117,0
5900,137,56,111,0
5950,133,54,103,0
6000,129,36,101,0
6050,121,83,109,0
6100,127,58,107,0
6150,131,101,107,0
6200,129,85,103,0
6250,123,91,107,0
6300,119,83,101,0
6350,109,52,48,0
6400,85,22,6,0
6450,67,12,0,0
6500,52,14,0,0
6550,42,14,0,0
6600,42,10,0,0
6650,34,2,0,0
6700,18,2,0,0
6750,16,10,0,0
6800,14,14,0,0
6850,8,10,0,0
6900,12,0,0,0
6950,8,8,0,0
7000,8,0,0,0
7050,4,4,0,0
7100,8,0,0,0
7150,0,0,0,0
7200,2,0,0,0
7250,4,0,0,0
7300,6,0,0,0
7350,0,0,0,0
7400,0,0,0,0
7450,0,0,0,0
7500,0,0,0,0
7550,6,0,0,0
7600,0,0,0,0
7650,0,0,0,0
7700,0,0,0,0
7750,2,0,0,0
7800,0,0,0,0
7850,0,0,0,0
