time_ms,fuel_pressure_psi,chamber_pressure_psi,oxygen_pressure_psi,ducer4_psi,ducer5_psi,ducer6_psi,ducer7_psi,ducer8_psi,thermistor1_C,thermistor2_C,thermistor3_C,thermistor4_C,thermistor5_C,thermistor6_C,loadcell_lbs
3,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
6,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
7,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
8,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
9,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
11,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
27,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
28,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
29,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
30,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
32,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0
36,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
37,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
38,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
39,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
41,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
42,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
44,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
45,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
47,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
48,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
49,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
50,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
51,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
52,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
53,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
54,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
55,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
62,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0
63,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
64,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
66,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
67,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
68,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0
70,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
72,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
73,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0
74,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0
75,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
77,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0
79,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0
81,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
82,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
83,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
84,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0
85,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
86,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
87,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0
88,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
89,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
90,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
91,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0
100,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
101,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
102,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
103,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
104,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
106,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
108,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0
110,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0
111,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
112,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0
113,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
115,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
116,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0
