time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
30,0,0,0,0
60,0,0,0,0
90,0,0,0,0
120,0,0,0,0
150,0,0,0,0
180,0,0,0,0
210,0,0,2,0
240,0,0,0,0
270,0,0,0,0
300,0,0,0,0
330,0,0,0,0
360,0,0,0,0
390,0,6,0,0
420,0,0,0,0
450,0,0,0,0
480,0,0,0,0
510,0,0,2,0
540,0,0,0,0
570,0,0,0,0
600,0,0,0,0
630,0,0,0,0
660,0,0,0,0
690,0,2,0,0
720,0,0,0,0
750,0,0,0,0
780,0,0,0,0
810,0,0,6,0
840,0,0,0,0
870,0,0,0,0
900,0,0,0,0
930,0,0,0,0
960,0,0,0,0
990,0,0,0,0
1020,0,0,0,0
1050,0,0,0,0
1080,0,0,0,0
1110,0,0,4,0
1140,0,0,2,0
1170,0,0,0,0
1200,0,0,0,0
1230,0,0,0,0
1260,0,0,0,0
1290,0,0,0,0
1320,0,0,0,0
1350,0,0,0,0
1380,2,0,0,0
1410,0,0,0,0
1440,0,0,0,0
1470,0,0,0,0
1500,4,0,0,0
1530,0,0,0,0
1560,0,2,0,0
1590,0,0,0,0
1620,4,8,103,0
1650,44,0,151,0
1680,153,284,202,0
1710,208,683,208,1
1740,218,714,226,2
1770,238,641,214,3
1800,232,607,230,2
1830,224,554,236,3
1860,238,532,222,3
1890,242,470,240,3
1920,240,456,228,3
1950,238,429,232,3
1980,240,387,240,3
2010,244,367,242,3
2040,244,377,222,3
2070,244,357,220,3
2100,232,337,242,3
2130,236,308,238,3
2160,238,315,220,3
2190,244,296,228,3
2220,248,302,224,3
2250,240,292,224,3
2280,248,278,228,3
2310,230,270,238,3
2340,236,268,234,3
2370,232,270,234,3
2400,248,266,218,3
2430,248,256,220,3
2460,250,260,226,3
2490,230,254,232,3
2520,250,256,222,3
2550,254,230,234,3
2580,232,234,242,3
2610,248,244,216,3
2640,230,246,234,3
2670,236,234,240,3
2700,248,226,222,3
2730,248,238,220,3
2760,234,232,232,3
2790,236,240,220,3
2820,246,226,218,3
2850,236,232,230,3
2880,254,220,224,3
2910,238,234,236,3
2940,236,220,222,3
2970,248,214,218,3
3000,246,218,216,3
3030,250,214,224,3
3061,252,232,216,3
3090,232,212,232,3
3120,238,206,234,3
3150,248,214,224,3
3180,244,220,236,3
3210,234,220,240,3
3240,236,214,226,3
3270,242,220,224,3
3300,248,210,220,3
3330,234,230,228,3
3360,236,206,230,3
3390,246,214,214,3
3420,236,202,242,3
3450,238,214,234,3
3480,252,208,224,3
3510,246,200,232,3
3540,236,212,240,3
3570,232,214,242,3
3600,248,204,222,3
3630,246,208,226,3
3660,234,208,224,3
3690,244,200,222,3
3720,230,202,238,3
3751,230,208,236,3
3780,254,190,234,3
3810,248,216,216,3
3840,244,210,220,3
3870,248,220,220,3
