time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
30,0,0,0,0
60,0,0,0,0
90,0,0,0,0
120,0,0,0,0
150,0,0,0,0
180,0,0,6,0
210,0,0,0,0
240,0,0,0,0
270,0,0,0,0
300,0,0,0,0
330,0,0,0,0
360,0,0,0,0
390,0,0,0,0
420,0,0,0,0
450,0,0,0,0
480,0,0,0,0
510,2,0,0,0
540,0,0,0,0
570,0,2,0,0
600,0,0,0,0
630,0,0,0,0
660,0,0,0,0
690,0,0,0,0
720,0,10,0,0
750,0,0,0,0
780,0,0,2,0
810,0,0,0,0
840,0,0,0,0
870,0,0,0,0
900,0,0,0,0
930,0,0,0,0
960,0,0,0,0
990,0,0,0,0
1020,0,8,0,0
1050,0,0,0,0
1080,0,0,2,0
1110,0,0,0,0
1140,0,0,0,0
1170,0,0,0,0
1200,0,0,0,0
1230,0,0,0,0
1260,0,0,0,0
1290,0,0,0,0
1321,0,0,0,0
1350,0,0,0,0
1380,0,0,4,0
1410,0,0,0,0
1440,0,0,0,0
1470,0,0,0,0
1500,0,0,0,0
1530,0,0,0,0
1560,0,0,0,0
1590,0,6,0,0
1620,2,0,0,0
1650,0,0,4,0
1680,0,0,0,0
1710,0,0,0,0
1740,0,4,0,0
1770,0,0,0,0
1800,0,0,0,0
1830,0,0,0,0
1860,0,0,0,0
1890,0,0,0,0
1920,0,0,0,0
1950,0,0,0,0
1980,0,0,0,0
2010,2,0,0,0
2040,0,0,0,0
2070,0,0,0,0
2100,0,0,0,0
2130,0,0,0,0
2160,0,0,0,0
2190,0,0,0,0
2220,0,0,0,0
2250,0,0,2,0
2280,0,0,0,0
2310,0,0,0,0
2340,0,0,0,0
2370,0,0,0,0
2400,0,0,0,0
2430,0,0,0,0
2460,0,0,0,0
2490,0,0,0,0
2520,0,0,8,0
2550,0,0,0,0
2580,0,0,0,0
2610,0,6,0,0
2640,0,0,0,0
2670,0,0,0,0
2700,2,0,0,0
2730,12,0,79,0
2760,24,16,127,0
2790,159,179,153,0
2820,163,264,163,0
2850,171,284,185,0
2880,169,288,198,1
2910,173,278,188,1
2940,171,274,185,1
2970,177,262,198,1
3000,188,258,183,1
3030,190,242,194,1
3060,185,248,192,1
3090,192,222,194,1
3120,173,226,206,1
3150,175,224,202,1
3180,188,226,183,1
3210,179,218,198,1
3240,181,212,192,1
3270,171,206,196,1
3300,183,200,190,1
3330,179,200,198,1
3360,173,188,200,1
3390,171,196,196,1
3420,177,198,208,1
3450,194,196,183,1
3480,171,206,192,1
3510,188,198,177,1
3540,175,185,200,1
3570,188,179,190,1
3600,181,185,194,1
3630,188,183,177,1
3660,181,175,192,1
3690,188,183,181,1
3720,173,188,200,1
3750,181,177,196,1
3780,196,171,179,1
3810,192,177,196,1
3840,192,167,181,1
3870,192,177,179,1
3900,177,177,198,1
3930,188,177,185,1
3960,171,177,185,1
3990,190,181,190,1
4020,173,179,202,1
4050,177,175,200,1
4080,196,161,190,1
4110,188,192,179,1
4140,177,179,196,1
4170,190,169,192,1
4200,181,175,190,1
4230,188,165,194,1
4260,183,167,194,1
4290,192,173,192,1
4320,183,173,192,1
4350,183,175,202,1
4380,175,169,194,1
4410,190,171,194,1
4440,196,165,183,1
4470,192,173,185,1
4500,173,139,188,0
4530,192,165,169,0
4560,190,149,179,1
4590,194,137,181,0
4620,175,137,190,0
4650,183,121,167,0
4680,188,153,157,0
4710,175,167,163,1
4740,175,147,179,0
4770,190,141,179,0
4800,173,149,181,0
4830,185,149,175,1
4860,173,141,190,1
4890,185,151,185,0
4920,183,165,200,1
4950,183,171,185,1
4980,198,163,194,1
5010,190,167,183,1
5040,181,165,194,1
5070,177,188,175,1
5100,177,161,198,1
5130,183,159,196,1
5160,179,177,190,1
5190,185,165,190,1
5220,177,173,200,1
5250,171,171,198,1
5280,192,159,183,1
5310,181,171,183,1
5340,175,169,198,1
5370,188,161,188,1
5400,183,145,177,0
5430,175,125,167,0
5460,175,103,165,0
5490,173,135,167,0
5520,175,111,173,0
5550,173,79,153,0
5580,185,81,149,0
5610,192,79,139,0
5640,183,103,155,0
5670,179,107,145,0
5700,175,131,167,0
5730,179,121,161,0
5760,177,115,173,0
5790,177,113,171,0
5820,175,107,153,0
5850,171,123,161,0
5880,179,107,157,0
5910,177,95,145,0
5940,173,125,151,0
5970,171,123,159,0
6000,169,105,121,0
6030,153,60,67,0
6060,139,40,34,0
6090,123,16,18,0
6120,101,6,4,0
6150,97,0,0,0
6180,87,0,0,0
6210,77,2,0,0
6240,67,0,0,0
6270,60,0,0,0
6300,48,0,0,0
6330,46,0,0,0
6360,46,0,0,0
6390,34,0,0,0
6420,34,0,0,0
6450,24,0,0,0
6480,32,0,0,0
6510,30,0,0,0
6540,26,0,0,0
6570,20,0,0,0
6600,18,0,0,0
6630,24,0,0,0
6660,14,6,0,0
6690,14,0,0,0
6720,20,0,0,0
6750,10,0,0,0
6780,6,0,0,0
6810,12,0,0,0
6840,8,0,0,0
6870,6,0,0,0
6900,0,0,0,0
6930,0,0,0,0
6960,2,0,0,0
6990,0,0,2,0
7020,4,0,0,0
7050,0,0,0,0
